Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
0.08740333	0.99999996003	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1	0.08740333	0.0	0.1
0.09180059	1.00000000466	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1	0.09180059	0.0	0.1
0.09619785	0.9999999374799999	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1	0.09619785	0.0	0.1
0.1007734	1.00000001272	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1	0.1007734	0.0	0.1
0.1060619	1.00000004431	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1	0.1060619	0.0	0.1
0.1113504	0.9999999880200001	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1	0.1113504	0.0	0.1
0.1166389	1.00000000081	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1	0.1166389	0.0	0.1
0.122144	0.9999999797	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1	0.122144	0.0	0.1
0.1285157	1.000000022	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1	0.1285157	0.0	0.1
0.1348874	0.9999999794900001	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1	0.1348874	0.0	0.1
0.1412591	1.00000001065	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1	0.1412591	0.0	0.1
