Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
0.000579879	0.2146969	0.1	0.000579879	4.841161e-08	0.1	0.000579879	0.0004093576	0.1	0.000579879	2.598126e-05	0.1	0.000579879	0.0006547184	0.1	0.000579879	0.3908484	0.1	0.000579879	0.0007866858	0.1	0.000579879	9.534151e-05	0.1	0.000579879	1.765751e-05	0.1	0.000579879	3.103308e-05	0.1	0.000579879	7.407525e-11	0.1
0.0006479781	0.1854872	0.1	0.0006479781	4.754989e-08	0.1	0.0006479781	0.0004077629	0.1	0.0006479781	2.245697e-05	0.1	0.0006479781	0.0006016489	0.1	0.0006479781	0.4055837	0.1	0.0006479781	0.0007224858	0.1	0.0006479781	8.75705e-05	0.1	0.0006479781	1.738492e-05	0.1	0.0006479781	2.85074e-05	0.1	0.0006479781	6.807516e-11	0.1
0.0007160771	0.160779	0.1	0.0007160771	4.646666e-08	0.1	0.0007160771	0.0004030659	0.1	0.0007160771	1.94757e-05	0.1	0.0007160771	0.0005547235	0.1	0.0007160771	0.4180548	0.1	0.0007160771	0.000665712	0.1	0.0007160771	8.069855e-05	0.1	0.0007160771	1.700346e-05	0.1	0.0007160771	2.627398e-05	0.1	0.0007160771	6.276981e-11	0.1
0.0007841762	0.1397517	0.1	0.0007841762	4.521794e-08	0.1	0.0007841762	0.00039598	0.1	0.0007841762	1.693843e-05	0.1	0.0007841762	0.0005129094	0.1	0.0007841762	0.4286742	0.1	0.0007841762	0.0006151166	0.1	0.0007841762	7.457456e-05	0.1	0.0007841762	1.655459e-05	0.1	0.0007841762	2.428371e-05	0.1	0.0007841762	5.804241e-11	0.1
0.0008522753	0.1217644	0.1	0.0008522753	4.384771e-08	0.1	0.0008522753	0.0003870644	0.1	0.0008522753	1.476784e-05	0.1	0.0008522753	0.0004754007	0.1	0.0008522753	0.4377641	0.1	0.0008522753	0.0005697257	0.1	0.0008522753	6.908064e-05	0.1	0.0008522753	1.606745e-05	0.1	0.0008522753	2.249825e-05	0.1	0.0008522753	5.380183e-11	0.1
0.0009203744	0.1063096	0.1	0.0009203744	4.239088e-08	0.1	0.0009203744	0.0003767627	0.1	0.0009203744	1.290272e-05	0.1	0.0009203744	0.0004415589	0.1	0.0009203744	0.4455795	0.1	0.0009203744	0.000528768	0.1	0.0009203744	6.412339e-05	0.1	0.0009203744	1.556224e-05	0.1	0.0009203744	2.088724e-05	0.1	0.0009203744	4.997587e-11	0.1
0.0009884735	0.09298028	0.1	0.0009884735	4.087545e-08	0.1	0.0009884735	0.0003654307	0.1	0.0009884735	1.129397e-05	0.1	0.0009884735	0.0004108713	0.1	0.0009884735	0.4523249	0.1	0.0009884735	0.0004916241	0.1	0.0009884735	5.962782e-05	0.1	0.0009884735	1.505273e-05	0.1	0.0009884735	1.94263e-05	0.1	0.0009884735	4.650657e-11	0.1
0.001056573	0.08144658	0.1	0.001056573	3.932399e-08	0.1	0.001056573	0.0003533554	0.1	0.001056573	9.901795e-06	0.1	0.001056573	0.0003829213	0.1	0.001056573	0.4581662	0.1	0.001056573	0.0004577906	0.1	0.001056573	5.5533e-05	0.1	0.001056573	1.454811e-05	0.1	0.001056573	1.809562e-05	0.1	0.001056573	4.334683e-11	0.1
0.001097432	0.07527377	0.1	0.001097432	3.838356e-08	0.1	0.001097432	0.0003458525	0.1	0.001097432	9.156637e-06	0.1	0.001097432	0.0003673204	0.1	0.001097432	0.4612945	0.1	0.001097432	0.0004389044	0.1	0.001097432	5.324725e-05	0.1	0.001097432	1.425028e-05	0.1	0.001097432	1.735285e-05	0.1	0.001097432	4.158317e-11	0.1
0.001131482	0.07051244	0.1	0.001131482	3.759744e-08	0.1	0.001131482	0.0003394913	0.1	0.001131482	8.581828e-06	0.1	0.001131482	0.0003549316	0.1	0.001131482	0.4637087	0.1	0.001131482	0.0004239059	0.1	0.001131482	5.143204e-05	0.1	0.001131482	1.400576e-05	0.1	0.001131482	1.676298e-05	0.1	0.001131482	4.018265e-11	0.1
