Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
1.892628e-11	0.9999999546	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1	1.892628e-11	0.0	0.1
2.034319e-11	1.000000026	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1	2.034319e-11	0.0	0.1
2.17601e-11	0.9999999343000001	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1	2.17601e-11	0.0	0.1
2.3177e-11	1.0000000768000001	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1	2.3177e-11	0.0	0.1
2.459391e-11	1.0000000792000001	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1	2.459391e-11	0.0	0.1
2.601082e-11	1.0000000651	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1	2.601082e-11	0.0	0.1
2.742773e-11	0.9999999364999999	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1	2.742773e-11	0.0	0.1
2.884464e-11	1.000000064	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1	2.884464e-11	0.0	0.1
3.026155e-11	0.9999999968000001	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1	3.026155e-11	0.0	0.1
3.167846e-11	1.000000063	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1	3.167846e-11	0.0	0.1
3.309537e-11	0.9999999497000001	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1	3.309537e-11	0.0	0.1
3.462606e-11	0.9999999694000001	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1	3.462606e-11	0.0	0.1
3.632742e-11	1.0000000549	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1	3.632742e-11	0.0	0.1
3.802878e-11	0.9999999645000001	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1	3.802878e-11	0.0	0.1
3.973014e-11	1.0000000152	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1	3.973014e-11	0.0	0.1
