Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
9.129011e-12	0.9999999590000002	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1	9.129011e-12	0.0	0.1
9.422215e-12	0.999999944	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1	9.422215e-12	0.0	0.1
9.736853e-12	1.0000000020000002	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1	9.736853e-12	0.0	0.1
1.005149e-11	1.000000046	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1	1.005149e-11	0.0	0.1
1.036613e-11	1.0000000631000001	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1	1.036613e-11	0.0	0.1
1.068077e-11	1.0000000041	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1	1.068077e-11	0.0	0.1
1.09954e-11	1.0000000682999999	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1	1.09954e-11	0.0	0.1
1.131004e-11	1.0000000251	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1	1.131004e-11	0.0	0.1
1.16883e-11	0.999999975	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1	1.16883e-11	0.0	0.1
1.206657e-11	0.9999999752	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1	1.206657e-11	0.0	0.1
