Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
2.478063e+22	0.9874313	0.1	2.478063e+22	2.2235e-15	0.1	2.478063e+22	3.199222e-07	0.1	2.478063e+22	0.00628402	0.1	2.478063e+22	6.815944e-24	0.1
2.769377e+22	0.9859694	0.1	2.769377e+22	2.220208e-15	0.1	2.769377e+22	3.195677e-07	0.1	2.769377e+22	0.007014971	0.1	2.769377e+22	2.313406e-22	0.1
3.352004e+22	0.9830553	0.1	3.352004e+22	2.213646e-15	0.1	3.352004e+22	3.188609e-07	0.1	3.352004e+22	0.008472023	0.1	3.352004e+22	9.06435e-22	0.1
4.517258e+22	0.9772656	0.1	4.517258e+22	2.200609e-15	0.1	4.517258e+22	3.174561e-07	0.1	4.517258e+22	0.01136687	0.1	4.517258e+22	6.401366e-24	0.1
6.847766e+22	0.965838	0.1	6.847766e+22	2.174876e-15	0.1	6.847766e+22	3.146812e-07	0.1	6.847766e+22	0.01708069	0.1	6.847766e+22	2.270729e-22	0.1
1.017706e+23	0.9498553	0.1	1.017706e+23	2.138886e-15	0.1	1.017706e+23	3.107955e-07	0.1	1.017706e+23	0.02507203	0.1	1.017706e+23	9.449515e-22	0.1
1.350636e+23	0.9342628	0.1	1.350636e+23	2.103775e-15	0.1	1.350636e+23	3.069991e-07	0.1	1.350636e+23	0.03286829	0.1	1.350636e+23	2.076556e-25	0.1
1.724968e+23	0.9171804	0.1	1.724968e+23	2.065309e-15	0.1	1.724968e+23	3.028333e-07	0.1	1.724968e+23	0.04140952	0.1	1.724968e+23	1.785163e-23	0.1
2.126903e+23	0.8993475	0.1	2.126903e+23	2.025153e-15	0.1	2.126903e+23	2.984769e-07	0.1	2.126903e+23	0.05032597	0.1	2.126903e+23	1.258622e-22	0.1
2.528837e+23	0.8820208	0.1	2.528837e+23	1.986137e-15	0.1	2.528837e+23	2.942364e-07	0.1	2.528837e+23	0.05898929	0.1	2.528837e+23	2.745005e-22	0.1
2.930771e+23	0.86518	0.1	2.930771e+23	1.948214e-15	0.1	2.930771e+23	2.901072e-07	0.1	2.930771e+23	0.06740969	0.1	2.930771e+23	8.736544e-23	0.1
3.332706e+23	0.8488058	0.1	3.332706e+23	1.911343e-15	0.1	3.332706e+23	2.860847e-07	0.1	3.332706e+23	0.07559679	0.1	3.332706e+23	9.428329e-24	0.1
3.799542e+23	0.8303491	0.1	3.799542e+23	1.869782e-15	0.1	3.799542e+23	2.815413e-07	0.1	3.799542e+23	0.08482515	0.1	3.799542e+23	3.070034e-24	0.1
4.282603e+23	0.8118588	0.1	4.282603e+23	1.828146e-15	0.1	4.282603e+23	2.769793e-07	0.1	4.282603e+23	0.09407033	0.1	4.282603e+23	3.001615e-24	0.1
4.765665e+23	0.7939588	0.1	4.765665e+23	1.787838e-15	0.1	4.765665e+23	2.725524e-07	0.1	4.765665e+23	0.1030203	0.1	4.765665e+23	1.155772e-22	0.1
5.248727e+23	0.7766226	0.1	5.248727e+23	1.748801e-15	0.1	5.248727e+23	2.682548e-07	0.1	5.248727e+23	0.1116884	0.1	5.248727e+23	3.400606e-23	0.1
5.731789e+23	0.7598253	0.1	5.731789e+23	1.710976e-15	0.1	5.731789e+23	2.640806e-07	0.1	5.731789e+23	0.1200871	0.1	5.731789e+23	0.0	0.1
6.21485e+23	0.7435434	0.1	6.21485e+23	1.674313e-15	0.1	6.21485e+23	2.600245e-07	0.1	6.21485e+23	0.1282281	0.1	6.21485e+23	7.491881e-23	0.1
6.697912e+23	0.7277546	0.1	6.697912e+23	1.63876e-15	0.1	6.697912e+23	2.560816e-07	0.1	6.697912e+23	0.1361224	0.1	6.697912e+23	7.447096e-23	0.1
7.180974e+23	0.7124381	0.1	7.180974e+23	1.60427e-15	0.1	7.180974e+23	2.522469e-07	0.1	7.180974e+23	0.1437807	0.1	7.180974e+23	7.914969e-24	0.1
7.72283e+23	0.6957949	0.1	7.72283e+23	1.566793e-15	0.1	7.72283e+23	2.480688e-07	0.1	7.72283e+23	0.1521023	0.1	7.72283e+23	8.11749e-23	0.1
8.303881e+23	0.6785507	0.1	8.303881e+23	1.527962e-15	0.1	8.303881e+23	2.437268e-07	0.1	8.303881e+23	0.1607244	0.1	8.303881e+23	7.91631e-23	0.1
8.884933e+23	0.6619006	0.1	8.884933e+23	1.490469e-15	0.1	8.884933e+23	2.395211e-07	0.1	8.884933e+23	0.1690495	0.1	8.884933e+23	7.722063e-23	0.1
9.465985e+23	0.6458163	0.1	9.465985e+23	1.454251e-15	0.1	9.465985e+23	2.354453e-07	0.1	9.465985e+23	0.1770916	0.1	9.465985e+23	0.0	0.1
1.004704e+24	0.630271	0.1	1.004704e+24	1.419246e-15	0.1	1.004704e+24	2.314933e-07	0.1	1.004704e+24	0.1848642	0.1	1.004704e+24	2.949985e-22	0.1
1.062809e+24	0.6152399	0.1	1.062809e+24	1.385399e-15	0.1	1.062809e+24	2.276594e-07	0.1	1.062809e+24	0.1923798	0.1	1.062809e+24	0.0	0.1
1.120914e+24	0.6006992	0.1	1.120914e+24	1.352656e-15	0.1	1.120914e+24	2.239382e-07	0.1	1.120914e+24	0.1996502	0.1	1.120914e+24	2.811574e-22	0.1
