Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
1.828836e-07	0.09831586	0.1	1.828836e-07	0.001739915	0.1	1.828836e-07	0.01003878	0.1	1.828836e-07	0.4295871	0.1	1.828836e-07	0.0067896460999999995	0.1	1.828836e-07	0.002145402	0.1	1.828836e-07	0.001073359	0.1
1.958179e-07	0.08649034	0.1	1.958179e-07	0.001752923	0.1	1.958179e-07	0.009405109	0.1	1.958179e-07	0.4367029	0.1	1.958179e-07	0.0063452389	0.1	1.958179e-07	0.002005568	0.1	1.958179e-07	0.001093077	0.1
2.087522e-07	0.07620935	0.1	2.087522e-07	0.001762786	0.1	2.087522e-07	0.008825999	0.1	2.087522e-07	0.4429448	0.1	2.087522e-07	0.0059391088	0.1	2.087522e-07	0.00187778	0.1	2.087522e-07	0.001109556	0.1
2.216865e-07	0.06724774	0.1	2.216865e-07	0.001769986	0.1	2.216865e-07	0.008294921	0.1	2.216865e-07	0.4484376	0.1	2.216865e-07	0.0055666924	0.1	2.216865e-07	0.001760599	0.1	2.216865e-07	0.001123217	0.1
2.346208e-07	0.05941817	0.1	2.346208e-07	0.001774912	0.1	2.346208e-07	0.007806398	0.1	2.346208e-07	0.453285	0.1	2.346208e-07	0.0052241642	0.1	2.346208e-07	0.001652823	0.1	2.346208e-07	0.001134429	0.1
2.475551e-07	0.05256364	0.1	2.475551e-07	0.001777877	0.1	2.475551e-07	0.0073558	0.1	2.475551e-07	0.4575742	0.1	2.475551e-07	0.0049082915	0.1	2.475551e-07	0.001553433	0.1	2.475551e-07	0.001143513	0.1
2.604895e-07	0.04655181	0.1	2.604895e-07	0.001779138	0.1	2.604895e-07	0.006939181	0.1	2.604895e-07	0.4613784	0.1	2.604895e-07	0.0046163177	0.1	2.604895e-07	0.001461562	0.1	2.604895e-07	0.001150753	0.1
2.734238e-07	0.04127052	0.1	2.734238e-07	0.001778909	0.1	2.734238e-07	0.006553153	0.1	2.734238e-07	0.4647602	0.1	2.734238e-07	0.0043458756	0.1	2.734238e-07	0.001376463	0.1	2.734238e-07	0.001156393	0.1
2.863581e-07	0.03662421	0.1	2.863581e-07	0.00177737	0.1	2.863581e-07	0.006194786	0.1	2.863581e-07	0.4677726	0.1	2.863581e-07	0.0040949157	0.1	2.863581e-07	0.001297493	0.1	2.863581e-07	0.001160649	0.1
2.992924e-07	0.03253114	0.1	2.992924e-07	0.001774671	0.1	2.992924e-07	0.005861526	0.1	2.992924e-07	0.4704613	0.1	2.992924e-07	0.0038616532	0.1	2.992924e-07	0.00122409	0.1	2.992924e-07	0.001163708	0.1
3.122267e-07	0.02892112	0.1	3.122267e-07	0.001770946	0.1	3.122267e-07	0.00555114	0.1	3.122267e-07	0.4728654	0.1	3.122267e-07	0.0036445262	0.1	3.122267e-07	0.00115576	0.1	3.122267e-07	0.001165732	0.1
3.25161e-07	0.02573366	0.1	3.25161e-07	0.001766306	0.1	3.25161e-07	0.005261658	0.1	3.25161e-07	0.4750189	0.1	3.25161e-07	0.0034421556	0.1	3.25161e-07	0.001092072	0.1	3.25161e-07	0.001166863	0.1
3.380953e-07	0.02291647	0.1	3.380953e-07	0.00176085	0.1	3.380953e-07	0.004991334	0.1	3.380953e-07	0.4769512	0.1	3.380953e-07	0.0032533201	0.1	3.380953e-07	0.001032639	0.1	3.380953e-07	0.001167223	0.1
3.510296e-07	0.02042421	0.1	3.510296e-07	0.001754666	0.1	3.510296e-07	0.004738616	0.1	3.510296e-07	0.4786877	0.1	3.510296e-07	0.0030769301	0.1	3.510296e-07	0.0009771196	0.1	3.510296e-07	0.001166919	0.1
3.655235e-07	0.01796903	0.1	3.655235e-07	0.001746967	0.1	3.655235e-07	0.004474629	0.1	3.655235e-07	0.4804286	0.1	3.655235e-07	0.0028928587	0.1	3.655235e-07	0.0009191776	0.1	3.655235e-07	0.001165902	0.1
3.810572e-07	0.01568163	0.1	3.810572e-07	0.001737917	0.1	3.810572e-07	0.004212333	0.1	3.810572e-07	0.4820832	0.1	3.810572e-07	0.0027101859	0.1	3.810572e-07	0.0008616703	0.1	3.810572e-07	0.001164141	0.1
3.965908e-07	0.01370093	0.1	3.965908e-07	0.001728145	0.1	3.965908e-07	0.003969514	0.1	3.965908e-07	0.4835476	0.1	3.965908e-07	0.0025413159	0.1	3.965908e-07	0.0008085016	0.1	3.965908e-07	0.001161798	0.1
4.121245e-07	0.01198403	0.1	4.121245e-07	0.001717742	0.1	4.121245e-07	0.003744477	0.1	4.121245e-07	0.4848462	0.1	4.121245e-07	0.0023850545	0.1	4.121245e-07	0.0007592959	0.1	4.121245e-07	0.001158971	0.1
4.276582e-07	0.01049434	0.1	4.276582e-07	0.00170679	0.1	4.276582e-07	0.003535705	0.1	4.276582e-07	0.4860003	0.1	4.276582e-07	0.0022403344	0.1	4.276582e-07	0.0007137178	0.1	4.276582e-07	0.001155741	0.1
